"","SQuAD1-1","NewsQA","SearchQA","TriviaQA_wiki","HotpotQA","ComplexQuestions","ComplexWebQuestions","ComQA","WikiHop","DROP"
"SQuAD1-1","0","12.63","15.84","13.13","14.35","22.63","14.25","15.4","12.73","12.21"
"NewsQA","12.63","0","13.91","6.38","8.03","17.04","7.76","9.34","6.5","9.89"
"SearchQA","15.84","13.91","0","7.28","16.35","14.94","6.52","7.51","9.17","14.26"
"TriviaQA_wiki","13.13","6.38","7.28","0","7.37","16.69","7.67","9.22","5.86","11.13"
"HotpotQA","14.35","8.03","16.35","7.37","0","15.02","7.4","8.53","6.81","12.59"
"ComplexQuestions","22.63","17.04","14.94","16.69","15.02","0","13.82","14.74","16.15","20.36"
"ComplexWebQuestions","14.25","7.76","6.52","7.67","7.4","13.82","0","6.45","7.19","12.64"
"ComQA","15.4","9.34","7.51","9.22","8.53","14.74","6.45","0","8.36","14"
"WikiHop","12.73","6.5","9.17","5.86","6.81","16.15","7.19","8.36","0","11.25"
"DROP","12.21","9.89","14.26","11.13","12.59","20.36","12.64","14","11.25","0"